vac_id,vac_name,grade,city,geo,geo_city,published_at,archived,employer_id,emp_name,addres,is_accredited,is_trusted,salary_from,salary_to,currency,gross,mode_name,frequency,prof_role,schedule_name,insider_interview,response_letter_required,experience,hard_skills,soft_skills,has_test,url,parsed_for_job
122772569,Заместитель начальника отдела регионального развития,Team Lead,Сыктывкар,"[61.679508, 50.8378]","[61.6685237, 50.8352024]",2025-07-14T14:32:03+0300,0,5312832,Полная занятость,"Сыктывкар, улица Кутузова, 5",0,1,42844.0,48309.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122772569,Руководитель отдела аналитики
122790300,Заместитель начальника управления аналитики и развития туризма,Team Lead,Челябинск,"[55.154774, 61.371041]","[55.1598408, 61.4025547]",2025-07-15T07:12:50+0300,0,9120439,Полная занятость,"Челябинск, Витебская улица, 4",0,1,65000.0,85800.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122790300,Руководитель отдела аналитики
122795328,Старший аналитик,Senior,Москва,"[55.824932289752475, 37.42953946223555]","[55.625578, 37.6063916]",2025-07-15T09:17:49+0300,0,2699313,Полная занятость,"Москва, Волоколамское шоссе, 73",0,1,150000.0,250000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122795328,Руководитель отдела аналитики
122810311,Руководитель направления Отдела инициатив операционной деятельности,Team Lead,Москва,"[55.625578, 37.6063916]","[55.625578, 37.6063916]",2025-07-15T12:51:01+0300,0,176941,Полная занятость,,0,1,213150.0,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122810311,Руководитель отдела аналитики
122814248,Начальник отдела стратегического планирования и управления рисками,Team Lead,Алматы,"[43.232244, 76.870582]","[54.328047, 48.3960145]",2025-07-15T13:47:37+0300,0,967645,Полная занятость,"Алматы, проспект Абая, 218/1",0,1,,77175.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122814248,Руководитель отдела аналитики
122871347,Начальник отдела стратегического развития,Team Lead,Тула,"[54.073888, 37.53667]","[54.1930321, 37.61754]",2025-07-16T14:54:14+0300,0,1468661,Полная занятость,"деревня Ясная Поляна, Школьная улица, 19",0,1,87000.0,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122871347,Руководитель отдела аналитики
122916007,Руководитель группы аналитики,Team Lead,Москва,"[55.715195, 38.046105]","[55.625578, 37.6063916]",2025-07-17T08:42:54+0300,0,2343,Полная занятость,"городской округ Балашиха, Новомилетское шоссе",1,1,,170000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,"{'id': '32938', 'url': 'https://hh.ru/interview/32938?employerId=2343'}",0,От 3 до 6 лет,datalens; etl; excel; power bi; sap; sql; tableau,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122916007,Руководитель отдела аналитики
122916008,Руководитель группы аналитики,Team Lead,Балашиха (Московская область),"[55.715195, 38.046105]","[55.7997662, 37.9373707]",2025-07-17T08:42:54+0300,0,2343,Полная занятость,"городской округ Балашиха, Новомилетское шоссе",1,1,,170000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,"{'id': '32938', 'url': 'https://hh.ru/interview/32938?employerId=2343'}",0,От 3 до 6 лет,datalens; etl; excel; power bi; sap; sql; tableau,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122916008,Руководитель отдела аналитики
122916009,Руководитель группы аналитики,Team Lead,Железнодорожный  (Московская область),"[55.715195, 38.046105]","[55.7464587, 38.0090773]",2025-07-17T08:42:54+0300,0,2343,Полная занятость,"городской округ Балашиха, Новомилетское шоссе",1,1,,170000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,"{'id': '32938', 'url': 'https://hh.ru/interview/32938?employerId=2343'}",0,От 3 до 6 лет,datalens; etl; excel; power bi; sap; sql; tableau,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122916009,Руководитель отдела аналитики
122932086,Заместитель генерального директора по материально-техническому снабжению,Middle,Златоуст,"[55.100499, 59.698351]","[55.1674213, 59.6792625]",2025-07-17T11:48:44+0300,0,8648600,Полная занятость,"Златоуст, Парковый проезд, 2",0,1,100000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122932086,Руководитель отдела аналитики
122950645,Начальник Управления анализа объектов реновации,Team Lead,Москва,"[55.81707181594685, 37.383674259507046]","[55.625578, 37.6063916]",2025-07-17T15:34:27+0300,0,8902522,Полная занятость,"Красногорск, бульвар Строителей, 7",0,1,150000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,Более 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122950645,Руководитель отдела аналитики
122970451,Руководитель по ценообразованию,Team Lead,Каменск-Уральский,"[56.353799, 61.986045]","[56.415451, 61.917797]",2025-07-18T09:44:16+0300,0,2143017,Полная занятость,"Каменск-Уральский, Заводская улица, 5",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122970451,Руководитель отдела аналитики
122970452,Руководитель по ценообразованию,Team Lead,Екатеринбург,"[56.353799, 61.986045]","[56.839104, 60.60825]",2025-07-18T09:44:16+0300,0,2143017,Полная занятость,"Каменск-Уральский, Заводская улица, 5",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122970452,Руководитель отдела аналитики
122970453,Руководитель по ценообразованию,Team Lead,Курган,"[56.353799, 61.986045]","[55.4409357, 65.3421169]",2025-07-18T09:44:16+0300,0,2143017,Полная занятость,"Каменск-Уральский, Заводская улица, 5",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122970453,Руководитель отдела аналитики
122970454,Руководитель по ценообразованию,Team Lead,Челябинск,"[56.353799, 61.986045]","[55.1598408, 61.4025547]",2025-07-18T09:44:16+0300,0,2143017,Полная занятость,"Каменск-Уральский, Заводская улица, 5",0,1,200000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122970454,Руководитель отдела аналитики
122974138,Заместитель начальника отдела организации службы крови,Team Lead,Москва,"[55.810041, 37.479465]","[55.625578, 37.6063916]",2025-07-18T10:43:25+0300,0,2437905,Полная занятость,"Москва, Щукинская улица, 6к2",0,1,110000.0,120000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,excel; office,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122974138,Руководитель отдела аналитики
122991188,Аналитик/Руководитель по управлению доходами,Team Lead,Москва,"[55.841165, 37.650433]","[55.625578, 37.6063916]",2025-07-18T14:59:17+0300,0,17128,Полная занятость,"Москва, улица Докукина, 16с1",0,1,250125.0,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,1,От 3 до 6 лет,1с,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/122991188,Руководитель отдела аналитики
